"","MPA","Users","Scenario","Exposure","Ecological sensitivity","Ecological adaptive capacity","Q_Exposure","Q_Ecological sensitivity","Q_Ecological adaptive capacity","Index"
"84","Cap de Creus","Tourist sector","RCP45_2100",0.545879821932197,0.353860518513619,0.441937495128985,"Very High","High","Intermediate","Very High"
"85","Cap de Creus","Professional fishers","RCP85_2100",0.866317376125847,0.299252383883145,0.414410416666667,"Extreme","Intermediate","Intermediate","Very High"
"86","Cap de Creus","Professional fishers","RCP26_2050",0.379403039877098,0.299252383883145,0.414410416666667,"Intermediate","Intermediate","Intermediate","High"
"87","Cap de Creus","Professional fishers","RCP85_2050",0.324972508994368,0.299252383883145,0.414410416666667,"Intermediate","Intermediate","Intermediate","High"
"88","Cap de Creus","Professional fishers","RCP26_2100",0.276650910354068,0.299252383883145,0.414410416666667,"Low","Intermediate","Intermediate","Intermediate"
"89","Cap de Creus","Professional fishers","RCP45_2050",0.291554004044364,0.299252383883145,0.414410416666667,"Low","Intermediate","Intermediate","Intermediate"
"90","Cap de Creus","Professional fishers","RCP45_2100",0.545879821932197,0.299252383883145,0.414410416666667,"Very High","Intermediate","Intermediate","High"
"91","Cap de Creus","Recreational fishers","RCP85_2100",0.866317376125847,0.00624954047496508,0.434792899408284,"Extreme","Low","Intermediate","High"
"92","Tavolara","Professional fishers","RCP85_2100",0.974587499689849,0.196205,0.408834895833333,"Extreme","Low","Intermediate","High"
"93","Tavolara","Divers","RCP26_2050",0.9745875,0.196205,0.408834896,"Extreme","Low","Intermediate","High"
"94","Tavolara","Professional fishers","RCP26_2050",0.461864991836836,0.196205,0.408834895833333,"High","Low","Intermediate","High"
"95","Tavolara","Professional fishers","RCP85_2050",0.434577053817334,0.196205,0.408834895833333,"High","Low","Intermediate","High"
"96","Cap de Creus","Recreational fishers","RCP85_2050",0.324972508994368,0.00624954047496508,0.434792899408284,"Intermediate","Low","Intermediate","Intermediate"
"97","Cap de Creus","Recreational fishers","RCP26_2050",0.379403039877098,0.00624954047496508,0.434792899408284,"Intermediate","Low","Intermediate","Intermediate"
"98","Tavolara","Professional fishers","RCP45_2050",0.432146845975072,0.196205,0.408834895833333,"Intermediate","Low","Intermediate","Intermediate"
"99","Tavolara","Professional fishers","RCP26_2100",0.358770124639192,0.196205,0.408834895833333,"Intermediate","Low","Intermediate","Intermediate"
"100","Cap de Creus","Recreational fishers","RCP26_2100",0.276650910354068,0.00624954047496508,0.434792899408284,"Low","Low","Intermediate","Intermediate"
"101","Cap de Creus","Recreational fishers","RCP45_2050",0.291554004044364,0.00624954047496508,0.434792899408284,"Low","Low","Intermediate","Intermediate"
"102","Tavolara","Professional fishers","RCP45_2100",0.650834673183965,0.196205,0.408834895833333,"Very High","Low","Intermediate","High"
